url주소,기업,알바명,고용형태,직업종류,고용기간,실근무시간,야간근무여부,상세주소,위도,경도,x좌표,y좌표,starttime,endtime
http://www.alba.co.kr/job/Detail.asp?adid=97431315,[안성쿠팡 E팀],안성쿠팡 E팀 [바로출근][초보]꿀알바/초보/단순업무/하루/단기/장기/지게차,['아르바이트'],['재고관리'],1주일~1개월,9.0,True,경기 안성시 미양면 개정길 98-52,36.95268401541891,127.19429901449521,,,16.5,1.5
http://www.alba.co.kr/job/Detail.asp?adid=97439193,위드엔지니어링,"(급구 단기,장기)르노삼성자동차 부산공장 사내협력 주간 고정","['아르바이트', '계약직']","['자동차·선박', '자동차·선박', '생산·기능 기타']",1주일~1개월,11.0,False,부산 강서구 르노삼성대로 61,35.09540703718737,128.88321460835385,,,8.0,19.0
http://www.alba.co.kr/job/Detail.asp?adid=97444084,우성디자인,벡스코행사설치보조인원모집,['아르바이트'],"['단순노무', '생산·기능 기타']",1일,10.0,False,부산 해운대구 해운대로 351,35.16902458288027,129.1369798161938,,,8.0,18.0
http://www.alba.co.kr/job/Detail.asp?adid=97415090,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97360141,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97441222,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97441149,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97230006,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97344582,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439848,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431682,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431676,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97438904,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97068637,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431681,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431679,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97420561,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97418185,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97442905,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97395913,,,,,,,,,,,,,,
